ba,EIN,Tax Year,Tax End Date,Location (Zipcode),Federate Campaigns,Membership Dues,Fundraising Events,Related Organizations,Government Grants,"All Other Contributions gifts, grants and similar amounts not included above",Noncash constributions included in lines 1a - 1f,Total ,Type,,,,EIN_YEAR
Interfaith Community Services,953837714,2019,,92025,371,0,0,0,0,7188385,840491,7188756,A,7188756,TRUE,,953837714_2019
Interfaith Community Services,953837714,2020,,92025,0,0,0,0,0,8230080,609510,8230080,A,8230080,TRUE,,953837714_2020
Mcalister Institute,953140767,2015,,92020,0,0,0,0,9361362,0,0,9361362,A,9361362,TRUE,,953140767_2015
Mcalister Institute,953140767,2016,,92020,0,0,0,0,11827666,0,0,11827666,A,11827666,TRUE,,953140767_2016
Mcalister Institute,953140767,2017,,92020,0,0,0,0,15375695,0,0,15375695,A,15375695,TRUE,,953140767_2017
Mcalister Institute,953140767,2018,,92020,0,0,0,0,20728534,0,0,20728534,A,20728534,TRUE,,953140767_2018
Mcalister Institute,953140767,2020,,92020,0,0,0,0,33156996,0,0,33156996,,33156996,TRUE,,953140767_2020
Neighborhood House Association,951648184,2015,,92111,6215,0,193732,0,83944092,573315,0,84717354,A,84717354,TRUE,,951648184_2015
Neighborhood House Association,951648184,2016,,92111,4241,0,208120,0,85482020,539917,0,86234298,A,86234298,TRUE,,951648184_2016
Neighborhood House Association,951648184,2017,,92111,2433,0,90000,0,92792453,640431,65505,93525317,A,93525317,TRUE,,951648184_2017
Neighborhood House Association,951648184,2018,,92111,882,0,197990,0,95320956,638996,74436,96158824,A,96158824,TRUE,,951648184_2018
Neighborhood House Association,951648184,2019,,92111,819,0,88990,0,97559202,598531,0,98247542,A,98247542,TRUE,,951648184_2019
South Bay Community Services,952693142,2015,,91910,0,0,0,0,23412360,546969,278454,23959329,A,23959329,TRUE,,952693142_2015
South Bay Community Services,952693142,2016,,91910,0,0,158754,0,24108727,511375,194845,24778856,A,24778856,TRUE,,952693142_2016
South Bay Community Services,952693142,2017,,91910,0,0,187711,0,23679156,505996,75340,24372863,A,24372863,TRUE,,952693142_2017
South Bay Community Services,952693142,2018,,91910,0,0,230647,0,24769279,603727,148832,25603653,A,25603653,TRUE,,952693142_2018
South Bay Community Services,952693142,2019,,91910,0,0,165510,0,30495738,2038952,78823,32700200,A,32700200,TRUE,,952693142_2019
South Bay Community Services,952693142,2020,,91910,0,0,0,0,93767513,4511207,411334,98278720,,98278720,TRUE,,952693142_2020
Crisis House,330217339,2015,6-30-2016,92020,0,0,0,0,756702,273265,169610,1029967,A,1029967,TRUE,,330217339_2015
Crisis House,330217339,2016,6-30-2017,92020,0,0,0,0,802795,342525,189186,1145320,A,1145320,TRUE,,330217339_2016
Crisis House,330217339,2017,6-30-2018,92020,0,0,0,0,1433825,346726,183702,1780551,A,1780551,TRUE,,330217339_2017
Crisis House,330217339,2018,6-30-2019,92020,0,0,10770,0,1424698,512193,118107,1947661,A,1947661,TRUE,,330217339_2018
Crisis House,330217339,2019,6-30-2020,92020,0,0,0,0,1933389,437262,74525,2370651,A,2370651,TRUE,,330217339_2019
Crisis House,330217339,2020,,92071,0,0,0,0,1923024,491981,49511,2415005,,2415005,TRUE,,330217339_2020
North County Lifeline,952794253,2015,,92056,0,0,0,0,7008292,156226,71467,7164518,A,7164518,TRUE,,952794253_2015
North County Lifeline,952794253,2016,,92056,0,0,0,0,7910489,269310,107107,8179799,A,8179799,TRUE,,952794253_2016
North County Lifeline,952794253,2017,,92056,0,0,0,0,9738384,287018,207107,10025402,A,10025402,TRUE,,952794253_2017
North County Lifeline,952794253,2018,,92056,0,0,0,0,10496439,353245,235480,10849684,A,10849684,TRUE,,952794253_2018
North County Lifeline,952794253,2019,,92056,0,0,0,0,12446965,392396,251569,12839361,A,12839361,TRUE,,952794253_2019
North County Lifeline,952794253,2020,,92056,0,0,0,0,13098737,679469,189639,13778206,A,13778206,TRUE,,952794253_2020
Episcopal Community Services,951945256,2015,,91950,0,0,51225,0,22100447,340084,0,22491756,A,22491756,TRUE,,951945256_2015
Episcopal Community Services,951945256,2016,,91950,0,0,101625,0,22673613,301556,0,23076794,A,23076794,TRUE,,951945256_2016
Episcopal Community Services,951945256,2017,,91950,0,0,124077,0,23934591,719216,0,24777884,A,24777884,TRUE,,951945256_2017
Episcopal Community Services,951945256,2018,,91950,0,0,137949,0,25902728,527617,129159,26568294,A,26568294,TRUE,,951945256_2018
Episcopal Community Services,951945256,2019,,91950,0,0,168750,0,26628948,568432,76845,27366130,A,27366130,TRUE,,951945256_2019
East County Transitional Living Center Inc.,270865318,2015,,92021,0,0,0,0,77030,633257,412106,710287,A,710287,TRUE,,270865318_2015
East County Transitional Living Center Inc.,270865318,2016,,92021,0,0,0,0,164573,692054,580726,856627,A,856627,TRUE,,270865318_2016
East County Transitional Living Center Inc.,270865318,2017,,92021,0,0,0,0,80004,1549664,905744,1629668,A,1629668,TRUE,,270865318_2017
East County Transitional Living Center Inc.,270865318,2018,,92021,0,0,0,0,0,2215373,1511646,2215373,A,2215373,TRUE,,270865318_2018
East County Transitional Living Center Inc.,270865318,2019,,92021,0,0,0,0,0,1616436,1140751,1616436,A,1616436,TRUE,,270865318_2019
East County Transitional Living Center Inc.,270865318,2021,,92021,0,0,0,0,0,4219724,3264414,7484138,,7484138,TRUE,,270865318_2021
Think Dignity,331146733,2016,,92104,0,3445,20231,0,121084,114551,11272,259311,A,259311,TRUE,,331146733_2016
Think Dignity,331146733,2017,,92104,0,4925,15100,0,106172,255771,0,381968,A,381968,TRUE,,331146733_2017
Think Dignity,331146733,2018,,92104,0,0,33682,0,114747,324226,25426,472655,A,472655,TRUE,,331146733_2018
Think Dignity,331146733,2019,,92104,0,0,48628,0,129001,125440,43807,303069,A,303069,TRUE,,331146733_2019
Think Dignity,331146733,2021,,92104,0,0,45695,0,189346,273056,63404,508097,,508097,TRUE,,331146733_2021
"SDHC Building Opportunities, Inc. ",821946283,2019,,92101,0,0,0,0,0,366114,0,366114,A,366114,TRUE,,821946283_2019
"SDHC Building Opportunities, Inc. ",821946283,2020,,92101,0,0,0,0,0,116000,0,116000,A,116000,TRUE,,821946283_2020
Generatehope Inc.,263405689,2015,,92108,0,0,12315,0,153154,559739,0,725208,A,725208,TRUE,,263405689_2015
Generatehope Inc.,263405689,2016,,92108,0,0,0,0,52000,971973,36500,1023973,A,1023973,TRUE,,263405689_2016
Generatehope Inc.,263405689,2016,,92108,0,0,0,0,52000,971973,736500,1023973,A,1023973,TRUE,,263405689_2016
Generatehope Inc.,263405689,2017,,92108,0,0,139870,0,83947,705417,149318,929234,A,929234,TRUE,,263405689_2017
Generatehope Inc.,263405689,2018,,92108,0,0,204598,0,65995,1195492,317578,1466085,A,1466085,TRUE,,263405689_2018
Generatehope Inc.,263405689,2019,,92108,0,0,190000,0,61264,871044,53273,1122308,A,1122308,TRUE,,263405689_2019
Association for Community Housing Solutions,330602842,2015,12-31-2015,92123,0,0,0,0,1237593,454,0,1238047,A,1238047,TRUE,,330602842_2015
Association for Community Housing Solutions,330602842,2016,12-31-2016,92123,0,0,0,0,1485908,1212,0,1487120,A,1487120,TRUE,,330602842_2016
Association for Community Housing Solutions,330602842,2017,12-31-2017,92123,0,0,0,0,1564629,1120,0,1565749,A,1565749,TRUE,,330602842_2017
Association for Community Housing Solutions,330602842,2018,12-31-2018,92123,0,0,0,0,1610341,5416,0,1615757,A,1615757,TRUE,,330602842_2018
Association for Community Housing Solutions,330602842,2019,12-31-2019,92123,0,0,0,0,1527348,8561,0,1535909,A,1535909,TRUE,,330602842_2019
Solutions for Change Inc,330902617,2015,,92083,0,0,649293,0,0,1231933,133368,1881226,A,1881226,TRUE,,330902617_2015
Solutions for Change Inc,330902617,2016,,92083,0,0,163539,0,0,1694851,14192,1858390,A,1858390,TRUE,,330902617_2016
Solutions for Change Inc,330902617,2017,,92083,0,0,33059,0,300000,1503790,0,1836849,A,1836849,TRUE,,330902617_2017
Solutions for Change Inc,330902617,2018,,92083,0,0,250677,0,200000,2319654,144589,2770331,A,2770331,TRUE,,330902617_2018
Solutions for Change Inc,330902617,2019,,92083,0,0,155775,0,7500,1513911,95223,1744686,A,1744686,TRUE,,330902617_2019
METROPOLITAN AREA ADVISORY COMMITTEE ON ANTIPOVERTY OF SAN DIEGO COUNTY INC,952457354,2015,,91911,0,0,125830,0,28333254,925726,893295,29384810,A,29384810,TRUE,,952457354_2015
METROPOLITAN AREA ADVISORY COMMITTEE ON ANTIPOVERTY OF SAN DIEGO COUNTY INC,952457354,2016,,91911,0,0,16800,0,28532127,2003551,1738321,30552478,A,30552478,TRUE,,952457354_2016
METROPOLITAN AREA ADVISORY COMMITTEE ON ANTIPOVERTY OF SAN DIEGO COUNTY INC,952457354,2017,,91911,0,0,36800,0,27582015,2269306,2049541,29888121,A,29888121,TRUE,,952457354_2017
METROPOLITAN AREA ADVISORY COMMITTEE ON ANTIPOVERTY OF SAN DIEGO COUNTY INC,952457354,2018,,91911,0,0,35000,0,29811044,2412572,1869374,32258616,A,32258616,TRUE,,952457354_2018
METROPOLITAN AREA ADVISORY COMMITTEE ON ANTIPOVERTY OF SAN DIEGO COUNTY INC,952457354,2019,,91911,0,0,204555,0,35487026,2434789,2298104,38126370,A,38126370,TRUE,,952457354_2019
Adjoin,330008269,2015,,92111,0,0,0,0,2577779,15146,0,2592925,A,2592925,TRUE,,330008269_2015
Adjoin,330008269,2016,,92111,0,0,0,0,4117430,14732,0,4132162,A,4132162,TRUE,,330008269_2016
Adjoin,330008269,2018,,92111,0,0,0,0,4486116,15457,0,4501573,A,4501573,TRUE,,330008269_2018
Adjoin,330008269,2019,,92111,0,0,0,0,4315826,18835,0,4334661,A,4334661,TRUE,,330008269_2019
Adjoin,330008269,2020,,92111,0,0,0,0,7508861,136902,0,7645763,,7645763,TRUE,,330008269_2020
AbleDisabled Advocacy Inc.,953031682,2015,,92105,0,0,0,0,1677760,16974,0,1694734,A,1694734,TRUE,,953031682_2015
AbleDisabled Advocacy Inc.,953031682,2016,,92105,0,0,0,0,0,2076118,0,2076118,A,2076118,TRUE,,953031682_2016
AbleDisabled Advocacy Inc.,953031682,2017,,92105,0,0,0,0,1996303,141338,49843,2137641,A,2137641,TRUE,,953031682_2017
AbleDisabled Advocacy Inc.,953031682,2018,,92105,0,0,0,0,1962090,377739,237256,2339829,A,2339829,TRUE,,953031682_2018
AbleDisabled Advocacy Inc.,953031682,2020,,92105,0,0,0,0,1945475,284250,220883,2229725,A,2229725,TRUE,,953031682_2020
Southern California Tribal Chairmens Association,237161267,2015,,92082,0,0,0,0,15121712,2746407,137017,17868119,A,17868119,TRUE,,237161267_2015
Southern California Tribal Chairmens Association,237161267,2016,,92082,0,0,0,0,14998644,2860730,138656,17859374,A,17859374,TRUE,,237161267_2016
Southern California Tribal Chairmens Association,237161267,2018,,92082,0,0,0,0,15031002,3433623,159069,18464625,A,18464625,TRUE,,237161267_2018
Southern California Tribal Chairmens Association,237161267,2019,,92082,0,0,0,0,16187588,3801316,109457,19988904,A,19988904,TRUE,,237161267_2019
LAS PALMAS FOUNDATION,330497515,2015,,92024,0,0,0,0,149000,0,0,149000,A,149000,TRUE,,330497515_2015
LAS PALMAS FOUNDATION,330497515,2016,,92024,0,0,0,0,0,0,0,0,A,0,TRUE,,330497515_2016
LAS PALMAS FOUNDATION,330497515,2017,,92024,0,0,0,0,0,550,0,550,A,550,TRUE,,330497515_2017
LAS PALMAS FOUNDATION,330497515,2018,,92024,0,0,0,0,0,300,0,300,A,300,TRUE,,330497515_2018
LAS PALMAS FOUNDATION,330497515,2019,,92024,0,0,0,0,0,600,0,600,A,600,TRUE,,330497515_2019
Calexico Plaza Development Corporation,953750738,2015,9-30-2016,92127,0,0,0,0,56788,0,0,56788,A,56788,TRUE,,953750738_2015
Calexico Plaza Development Corporation,953750738,2017,9-30-2018,92127,0,0,0,0,56517,0,0,56517,A,56517,TRUE,,953750738_2017
Calexico Plaza Development Corporation,953750738,2018,9-30-2019,92127,0,0,0,0,54330,0,0,54330,A,54330,TRUE,,953750738_2018
Calexico Plaza Development Corporation,953750738,2019,9-30-2020,92127,0,0,0,0,0,0,0,0,A,0,TRUE,,953750738_2019
Calexico Plaza Development Corporation,953750738,2020,9-30-2021,92127,0,0,0,0,0,0,0,0,A,0,TRUE,,953750738_2020
Kiku Gardens Inc.,953368020,2015,,91911,0,0,1125,0,0,160,0,1285,A,1285,TRUE,,953368020_2015
Kiku Gardens Inc.,953368020,2016,,91911,0,0,0,0,0,0,0,0,A,0,TRUE,,953368020_2016
Kiku Gardens Inc.,953368020,2017,,91911,0,0,0,0,0,1301200,0,1301200,A,1301200,TRUE,,953368020_2017
Kiku Gardens Inc.,953368020,2018,,91911,0,0,0,0,0,4500,0,4500,A,4500,TRUE,,953368020_2018
Kiku Gardens Inc.,953368020,2019,,91911,0,0,0,0,0,1375,0,1375,A,1375,TRUE,,953368020_2019
Kiku Gardens Inc.,953368020,2020,,91911,0,0,0,0,0,500,0,500,A,500,TRUE,,953368020_2020
GUADALUPE PLAZA DEV CORP,953798088,2015,,92127,0,0,0,0,72019,0,0,72019,A,72019,TRUE,,953798088_2015
GUADALUPE PLAZA DEV CORP,953798088,2016,,92127,0,0,0,0,61998,0,0,61998,A,61998,TRUE,,953798088_2016
GUADALUPE PLAZA DEV CORP,953798088,2018,,92127,0,0,0,0,77704,0,0,77704,A,77704,TRUE,,953798088_2018
GUADALUPE PLAZA DEV CORP,953798088,2019,,92127,0,0,0,0,60562,0,0,60562,A,60562,TRUE,,953798088_2019
"ST. PAUL'S EPISCOPAL HOME, INC.",952111196,2015,8-31-2016,92013,0,0,0,2297041,590897,894547,884493,3782485,A,3782485,TRUE,,952111196_2015
"ST. PAUL'S EPISCOPAL HOME, INC.",952111196,2016,8-31-2017,92013,0,0,0,1683986,0,1718750,0,3402736,A,3402736,TRUE,,952111196_2016
"ST. PAUL'S EPISCOPAL HOME, INC.",952111196,2017,8-31-2018,92013,0,0,0,277177,0,263586,0,540763,A,540763,TRUE,,952111196_2017
"ST. PAUL'S EPISCOPAL HOME, INC.",952111196,2018,8-31-2019,92013,0,0,0,175050,5330,1620000,0,1800380,A,1800380,TRUE,,952111196_2018
CATHEDRAL PLAZA DEVELOPMENT CORPORATION,952949636,2015,,92127,0,0,0,0,320264,0,0,320264,A,320264,TRUE,,952949636_2015
CATHEDRAL PLAZA DEVELOPMENT CORPORATION,952949636,2016,,92127,0,0,0,0,141447,0,0,141447,A,141447,TRUE,,952949636_2016
CATHEDRAL PLAZA DEVELOPMENT CORPORATION,952949636,2017,,92127,0,0,0,0,139382,0,0,139382,A,139382,TRUE,,952949636_2017
CATHEDRAL PLAZA DEVELOPMENT CORPORATION,952949636,2018,,92127,0,0,0,0,161530,0,0,161530,A,161530,TRUE,,952949636_2018
CATHEDRAL PLAZA DEVELOPMENT CORPORATION,952949636,2019,,92127,0,0,0,0,132432,0,0,132432,A,132432,TRUE,,952949636_2019
ESCONDIDO GARDENS HOUSING FOUNDATION,330618893,2016,12-31-2016,92127,0,0,0,0,58030,0,0,58030,A,58030,TRUE,,330618893_2016
ESCONDIDO GARDENS HOUSING FOUNDATION,330618893,2018,12-31-2018,92127,0,0,0,0,59823,0,0,59823,A,59823,TRUE,,330618893_2018
SOUTHERN INDIAN HEALTH COUNCIL,953782164,2015,,91901,0,0,0,0,10326684,926092,96307,11252776,A,11252776,TRUE,,953782164_2015
SOUTHERN INDIAN HEALTH COUNCIL,953782164,2016,,91901,0,0,0,0,11237004,378725,39036,11615729,A,11615729,TRUE,,953782164_2016
SOUTHERN INDIAN HEALTH COUNCIL,953782164,2017,,91901,0,0,0,0,12039956,227741,42532,12267697,A,12267697,TRUE,,953782164_2017
SOUTHERN INDIAN HEALTH COUNCIL,953782164,2018,,91901,0,0,0,0,12821614,171201,44396,12992815,A,12992815,TRUE,,953782164_2018
SOUTHERN INDIAN HEALTH COUNCIL,953782164,2019,,91901,0,0,0,0,15329504,54763,54763,15384267,A,15384267,TRUE,,953782164_2019
SOUTHERN INDIAN HEALTH COUNCIL,953782164,2020,,91901,0,0,0,0,19406720,120824,59013,19527544,A,19527544,TRUE,,953782164_2020
KAREN ORGANIZATION OF SAN DIEGO,272917644,2016,,92105,0,0,0,0,0,139470,0,139470,A,139470,TRUE,,272917644_2016
KAREN ORGANIZATION OF SAN DIEGO,272917644,2017,,92105,0,0,2888,0,0,132638,0,135526,A,135526,TRUE,,272917644_2017
KAREN ORGANIZATION OF SAN DIEGO,272917644,2018,,92105,0,0,0,0,0,188071,0,188071,A,188071,TRUE,,272917644_2018
KAREN ORGANIZATION OF SAN DIEGO,272917644,2019,,92105,0,0,0,0,0,169503,0,169503,A,169503,TRUE,,272917644_2019
Somali Bantu Association of America,273390797,2017,,92105,0,0,0,0,0,393129,15488,393129,A,393129,TRUE,,273390797_2017
Somali Bantu Association of America,273390797,2018,,92105,0,0,0,0,252176,221576,1000,473752,A,473752,TRUE,,273390797_2018
Somali Bantu Association of America,273390797,2019,,92105,0,0,0,0,402438,233989,463,636427,A,636427,TRUE,,273390797_2019
ALLIANCE FOR AFRICAN ASSISTANCE,931008369,2015,,92115,0,0,0,0,0,79620,0,79620,A,79620,TRUE,,931008369_2015
ALLIANCE FOR AFRICAN ASSISTANCE,931008369,2016,,92115,0,0,0,0,0,116000,0,116000,A,116000,TRUE,,931008369_2016
ALLIANCE FOR AFRICAN ASSISTANCE,931008369,2017,,92115,0,0,6304,0,0,82574,0,88878,A,88878,TRUE,,931008369_2017
ALLIANCE FOR AFRICAN ASSISTANCE,931008369,2018,,92115,0,0,0,0,0,145494,0,145494,A,145494,TRUE,,931008369_2018
ALLIANCE FOR AFRICAN ASSISTANCE,931008369,2019,,92115,0,0,42454,0,0,101691,0,144145,A,144145,TRUE,,931008369_2019
UNITED WAY OF SAN DIEGO COUNTY,952213995,2015,,92123,13299476,0,37500,0,901775,754543,10000,14993294,A,14993294,TRUE,,952213995_2015
UNITED WAY OF SAN DIEGO COUNTY,952213995,2017,,92123,7976397,0,0,0,79332,453929,143347,8509658,A,8509658,TRUE,,952213995_2017
UNITED WAY OF SAN DIEGO COUNTY,952213995,2018,,92123,7049076,0,70375,0,509810,663710,0,8292971,A,8292971,TRUE,,952213995_2018
UNITED WAY OF SAN DIEGO COUNTY,952213995,2019,,92123,6556292,0,0,0,2803722,1812137,7360,11172151,A,11172151,TRUE,,952213995_2019
"STRONG HEARTED NATIVE WOMEN'S COALITION, INCORPORATED",562613191,2015,6-30-2016,92082,0,0,0,0,727969,1957,0,729926,A,729926,TRUE,,562613191_2015
"STRONG HEARTED NATIVE WOMEN'S COALITION, INCORPORATED",562613191,2016,6-30-2017,92082,0,0,0,0,726300,2800,0,729100,A,729100,TRUE,,562613191_2016
"STRONG HEARTED NATIVE WOMEN'S COALITION, INCORPORATED",562613191,2017,,92082,0,0,0,0,799422,7109,0,806531,A,806531,TRUE,,562613191_2017
"STRONG HEARTED NATIVE WOMEN'S COALITION, INCORPORATED",562613191,2018,,92082,0,0,0,0,876189,3574,0,879763,A,879763,TRUE,,562613191_2018
"STRONG HEARTED NATIVE WOMEN'S COALITION, INCORPORATED",562613191,2019,,92082,0,0,0,0,921567,26017,0,947584,A,947584,TRUE,,562613191_2019
ACCESS,952422704,2015,,92111,0,0,0,0,2146844,142987,0,2289831,A,2289831,TRUE,,952422704_2015
ACCESS,952422704,2017,,92111,0,0,0,0,2983795,229551,0,3213346,A,3213346,TRUE,,952422704_2017
ACCESS,952422704,2018,,92111,0,0,0,0,3128388,155665,0,3284053,A,3284053,TRUE,,952422704_2018
ACCESS,952422704,2019,,92111,0,0,0,0,3237974,54220,0,3292194,A,3292194,TRUE,,952422704_2019
California Indian Legal Services Inc.,941676390,2016,12-31-2016,92025,0,0,0,0,1562588,103148,0,1665736,A,1665736,TRUE,,941676390_2016
California Indian Legal Services Inc.,941676390,2017,12-31-2017,92025,0,0,0,0,2029571,126194,0,2155765,A,2155765,TRUE,,941676390_2017
California Indian Legal Services Inc.,941676390,2018,12-31-2018,92025,0,0,0,0,1819928,73318,0,1893246,A,1893246,TRUE,,941676390_2018
California Indian Legal Services Inc.,941676390,2019,12-31-2019,92025,0,0,0,0,1765110,174234,0,1939344,A,1939344,TRUE,,941676390_2019
California Indian Legal Services Inc.,941676390,2020,,92025,0,0,0,0,2026456,18802,0,2045258,A,2045258,TRUE,,941676390_2020
BILATERAL SAFETY CORRIDOR COALITION,550806460,2015,,91950,0,0,0,0,159442,117018,0,276460,A,276460,TRUE,,550806460_2015
BILATERAL SAFETY CORRIDOR COALITION,550806460,2016,,91950,0,0,0,0,188786,236171,0,424957,A,424957,TRUE,,550806460_2016
BILATERAL SAFETY CORRIDOR COALITION,550806460,2017,,91950,0,0,0,0,171066,159109,0,330175,A,330175,TRUE,,550806460_2017
BILATERAL SAFETY CORRIDOR COALITION,550806460,2018,,91950,0,0,0,0,0,297479,0,297479,A,297479,TRUE,,550806460_2018
BILATERAL SAFETY CORRIDOR COALITION,550806460,2019,,91950,0,0,0,0,0,269047,0,269047,A,269047,TRUE,,550806460_2019
BILATERAL SAFETY CORRIDOR COALITION,550806460,2020,,91950,0,0,0,0,161068,218547,6000,379615,A,379615,TRUE,,550806460_2020
Nami San Diego,330122462,2015,,92123,0,760,17785,0,4623871,255358,0,4897774,A,4897774,TRUE,,330122462_2015
Nami San Diego,330122462,2017,,92123,0,0,142728,0,5085050,133191,0,5360969,A,5360969,TRUE,,330122462_2017
Nami San Diego,330122462,2018,,92123,0,0,181702,0,5115093,139806,18300,5436601,A,5436601,TRUE,,330122462_2018
Nami San Diego,330122462,2019,,92123,0,0,160382,0,5532949,329605,2415,6022936,A,6022936,TRUE,,330122462_2019
Dreams for Change Inc.,270447059,2016,,92176,0,0,0,0,0,367905,0,367905,A,367905,TRUE,,270447059_2016
Dreams for Change Inc.,270447059,2017,,92176,0,0,0,0,0,13723,589875,603598,A,603598,TRUE,,270447059_2017
Dreams for Change Inc.,270447059,2018,,92176,0,0,0,0,345041,492397,0,837438,A,837438,TRUE,,270447059_2018
Dreams for Change Inc.,270447059,2019,,92176,0,0,0,0,600504,421536,0,1022040,A,1022040,TRUE,,270447059_2019
Dreams for Change Inc.,270447059,2020,,92176,0,0,0,0,717584,434903,0,1152487,A,1152487,TRUE,,270447059_2020
UPLIFT,330210280,2019,,92102,0,0,36547,0,0,192704,0,229251,A,229251,TRUE,,330210280_2019
UPLIFT,330210280,2021,,92102,0,0,53708,0,0,192522,30000,246230,,246230,TRUE,,330210280_2021
Voices of Our City Choir Inc.,822363154,2019,12-31-2019,92112,0,0,0,0,0,237154,0,237154,A,237154,TRUE,,822363154_2019
Home Start Incorporated ,953138268,2020,,92108,0,0,148040,0,9010990,1979791,53907,11138821,,11138821,TRUE,,953138268_2020
PATH (People Assisting The Homeless),953950196,2020,,90004,0,0,2014718,0,90762040,8823906,2984796,101600664,,101600664,TRUE,,953950196_2020
Olive Crest ,952877102,2020,,92705,0,0,1059264,0,23230878,7369758,1305317,31659900,,31659900,TRUE,,952877102_2020
Salvation Army San Diego Residences ,330553621,2020,,90275,0,0,0,0,784501,0,0,784501,,784501,TRUE,,330553621_2020
Jacobs & Cushman San Diego Food Bank,204374795,2020,,92121,0,0,251384,0,10838132,113522301,80913471,124611817,,124611817,TRUE,,204374795_2020
Operation Hope North County ,571214920,2020,,92084,0,0,0,0,422615,692114,0,1114729,,1114729,TRUE,,571214920_2020
Kingdom Causes dba City Net,571162424,2021,,90807,89250,0,0,0,429733,790394,27870,1309377,,1309377,TRUE,,571162424_2021
,,,,,"$35,571,906.00","$47,967.00","$19,229,327.00","$23,349,134.00","$3,384,170,346.00","$759,399,657.00","$218,330,487.00","$4,230,190,126.00",,,,,
,,,,,,,,,,,,"$846,019,780.00",,,,,
,,,,,,,,,,,,"$120,859,968.57",,,,,