EIN_YEAR,All Other Contributions,EIN,Federate Campaigns,Fundraising Events,Government Grants,Location (Zipcode),Membership Dues,Noncash Contributions,Organization Name,Related Organizations,Tax End Date,Tax Year,Total,Philanthropic_Total
550806460_2022,270209,550806460,0,8407,291440,91950,0,0,BILATERAL SAFETY CORRIDOR COALITION,0,12-31-2022,2022,570056,278616
550806460_2021,227448,550806460,0,0,239763,91950,0,0,BILATERAL SAFETY CORRIDOR COALITION,0,12-31-2021,2021,467211,227448
550806460_2020,218547,550806460,0,0,161068,91950,0,6000,BILATERAL SAFETY CORRIDOR COALITION,0,12-31-2020,2020,379615,218547
550806460_2019,269047,550806460,0,0,0,91950,0,0,BILATERAL SAFETY CORRIDOR COALITION,0,12-31-2019,2019,269047,269047
550806460_2018,297479,550806460,0,0,0,91950,0,0,BILATERAL SAFETY CORRIDOR COALITION,0,12-31-2018,2018,297479,297479
550806460_2017,159109,550806460,0,0,171066,91950,0,0,BILATERAL SAFETY CORRIDOR COALITION,0,12-31-2017,2017,330175,159109
550806460_2016,236171,550806460,0,0,188786,91950,0,0,BILATERAL SAFETY CORRIDOR COALITION,0,12-31-2016,2016,424957,236171
550806460_2015,117018,550806460,0,0,159442,91950,0,0,BILATERAL SAFETY CORRIDOR COALITION,0,12-31-2015,2015,276460,117018
953302967_2021,271291,953302967,0,0,93554678,92123,0,0,MENTAL HEALTH SYSTEMS INC,0,06-30-2022,2021,93825969,271291
953302967_2020,25197,953302967,0,0,98611907,92123,0,0,MENTAL HEALTH SYSTEMS INC,0,06-30-2021,2020,98637104,25197
953302967_2019,32870,953302967,0,0,90049407,92123,0,0,MENTAL HEALTH SYSTEMS INC,0,06-30-2020,2019,90082277,32870
953302967_2018,77961,953302967,0,0,71062143,92123,0,0,MENTAL HEALTH SYSTEMS INC,0,06-30-2019,2018,71140104,77961
953302967_2017,79120,953302967,0,0,61935444,92123,0,0,MENTAL HEALTH SYSTEMS INC,0,06-30-2018,2017,62014564,79120
953302967_2016,78628,953302967,0,0,62030562,92123,0,0,MENTAL HEALTH SYSTEMS INC,0,06-30-2017,2016,62109190,78628
953302967_2015,281825,953302967,0,0,67248615,92123,0,0,MENTAL HEALTH SYSTEMS INC,0,06-30-2016,2015,67530440,281825
953302967_2014,267385,953302967,0,0,72132439,92123,0,0,MENTAL HEALTH SYSTEMS INC,0,06-30-2015,2014,72399824,267385
953302967_2013,109691,953302967,0,30637,0,0,0,0,MENTAL HEALTH SYSTEMS INC,0,06-30-2014,2013,140328,140328
952039198_2021,8442000,952039198,0,111000,122845000,92123,0,517000,YMCA OF SAN DIEGO COUNTY,162000,06-30-2022,2021,131560000,8715000
952039198_2020,37728000,952039198,0,0,131804000,92123,0,2305000,YMCA OF SAN DIEGO COUNTY,0,06-30-2021,2020,169532000,37728000
952039198_2019,20816000,952039198,0,0,103823000,92123,0,0,YMCA OF SAN DIEGO COUNTY,0,06-30-2020,2019,124639000,20816000
952039198_2018,11971000,952039198,0,0,92115000,92123,0,440000,YMCA OF SAN DIEGO COUNTY,0,06-30-2019,2018,104086000,11971000
952039198_2017,15066000,952039198,0,0,79369000,92123,0,0,YMCA OF SAN DIEGO COUNTY,0,06-30-2018,2017,94435000,15066000
952039198_2016,16797000,952039198,0,0,66857000,92123,0,1985000,YMCA OF SAN DIEGO COUNTY,0,06-30-2017,2016,83654000,16797000
952039198_2015,15803000,952039198,0,0,59368000,92123,0,0,YMCA OF SAN DIEGO COUNTY,0,06-30-2016,2015,75171000,15803000
952039198_2014,12983000,952039198,0,0,52614000,92123,0,731000,YMCA OF SAN DIEGO COUNTY,0,06-30-2015,2014,65597000,12983000
952039198_2013,0,952039198,0,22645000,45948000,0,0,7030000,YMCA OF SAN DIEGO COUNTY,0,06-30-2014,2013,68593000,22645000
953497926_2021,1691815,953497926,0,114007,3001809,92024,0,1049099,COMMUNITY RESOURCE CENTER,0,06-30-2022,2021,4807631,1805822
953497926_2020,4043651,953497926,0,77637,3252755,92024,0,1035391,COMMUNITY RESOURCE CENTER,0,06-30-2021,2020,7374043,4121288
953497926_2019,2490058,953497926,0,301149,2338255,92024,0,627749,COMMUNITY RESOURCE CENTER,0,06-30-2020,2019,5129462,2791207
953497926_2018,1422107,953497926,347,68811,1526759,92024,0,614244,COMMUNITY RESOURCE CENTER,0,06-30-2019,2018,3018024,1491265
953497926_2017,1827504,953497926,158,73475,1305024,92024,0,548988,COMMUNITY RESOURCE CENTER,0,06-30-2018,2017,3206161,1901137
953497926_2016,1221054,953497926,1043,4960,1074638,92024,0,43662,COMMUNITY RESOURCE CENTER,0,06-30-2017,2016,2301695,1227057
953497926_2015,1118465,953497926,2081,178433,877544,92024,0,37633,COMMUNITY RESOURCE CENTER,0,06-30-2016,2015,2176523,1298979
953497926_2014,1775827,953497926,4086,151650,112385,92024,0,2977,COMMUNITY RESOURCE CENTER,0,06-30-2015,2014,2043948,1931563
953497926_2013,1231633,953497926,5786,58671,1215256,0,0,13786,COMMUNITY RESOURCE CENTER,0,06-30-2014,2013,2511346,1296090
272917644_2021,670453,272917644,0,0,298246,92105,0,0,KAREN ORGANIZATION OF SAN DIEGO,0,12-31-2021,2021,968699,670453
272917644_2020,384902,272917644,0,0,123825,92105,0,0,KAREN ORGANIZATION OF SAN DIEGO,0,12-31-2020,2020,508727,384902
272917644_2019,169503,272917644,0,0,0,92105,0,0,KAREN ORGANIZATION OF SAN DIEGO,0,12-31-2019,2019,169503,169503
272917644_2018,188071,272917644,0,0,0,92105,0,0,KAREN ORGANIZATION OF SAN DIEGO,0,12-31-2018,2018,188071,188071
272917644_2017,132638,272917644,0,2888,0,92105,0,0,KAREN ORGANIZATION OF SAN DIEGO,0,12-31-2017,2017,135526,135526
272917644_2016,139470,272917644,0,0,0,92105,0,0,KAREN ORGANIZATION OF SAN DIEGO,0,12-31-2016,2016,139470,139470
272917644_2015,103388,272917644,0,0,0,92105,0,0,KAREN ORGANIZATION OF SAN DIEGO,0,12-31-2015,2015,103388,103388
951874073_2021,26121296,951874073,0,155764,0,92138,0,8271604,SAN DIEGO RESCUE MISSION INC,0,09-30-2022,2021,26277060,26277060
951874073_2020,21978558,951874073,0,142855,0,92138,0,10039786,SAN DIEGO RESCUE MISSION INC,0,09-30-2021,2020,22121413,22121413
951874073_2019,16540608,951874073,0,50825,0,92138,0,7454894,SAN DIEGO RESCUE MISSION INC,0,09-30-2020,2019,16591433,16591433
951874073_2018,16921789,951874073,0,297819,0,92138,0,8637829,SAN DIEGO RESCUE MISSION INC,0,09-30-2019,2018,17219608,17219608
951874073_2017,17095088,951874073,0,0,0,92138,0,9929227,SAN DIEGO RESCUE MISSION INC,0,09-30-2018,2017,17095088,17095088
951874073_2016,16740241,951874073,0,305400,0,92138,0,10289900,SAN DIEGO RESCUE MISSION INC,0,09-30-2017,2016,17045641,17045641
951874073_2015,15535669,951874073,0,265175,0,92138,0,9304663,SAN DIEGO RESCUE MISSION INC,0,09-30-2016,2015,15535669,15535669
951874073_2014,16740258,951874073,0,0,0,92138,0,10231347,SAN DIEGO RESCUE MISSION INC,0,09-30-2015,2014,16740258,16740258
951874073_2013,19597062,951874073,0,0,0,0,0,9632204,SAN DIEGO RESCUE MISSION INC,0,09-30-2014,2013,19597062,19597062
263405689_2021,2444340,263405689,0,159532,321341,92108,0,61751,GENERATEHOPE INC,0,12-31-2021,2021,2925213,2603872
263405689_2020,1162044,263405689,0,133830,60934,92108,0,76861,GENERATEHOPE INC,0,12-31-2020,2020,1356808,1295874
263405689_2019,871044,263405689,0,190000,61264,92108,0,53273,GENERATEHOPE INC,0,12-31-2019,2019,1122308,1061044
263405689_2018,1195492,263405689,0,204598,65995,92108,0,317578,GENERATEHOPE INC,0,12-31-2018,2018,1466085,1400090
263405689_2017,705417,263405689,0,139870,83947,92108,0,149318,GENERATEHOPE INC,0,12-31-2017,2017,929234,845287
263405689_2016,971973,263405689,0,0,52000,92108,0,736500,GENERATEHOPE INC,0,12-31-2016,2016,1023973,971973
263405689_2015,559739,263405689,0,12315,153154,92108,0,0,GENERATEHOPE INC,0,12-31-2015,2015,725208,572054
263405689_2014,227478,263405689,0,0,100000,92108,0,0,GENERATEHOPE INC,0,12-31-2014,2014,327478,227478
263405689_2013,179228,263405689,0,0,100000,0,0,0,GENERATEHOPE INC,0,12-31-2013,2013,279228,179228
953368020_2021,1600,953368020,0,0,0,91911,0,0,KIKU GARDENS INC,0,06-30-2022,2021,1600,1600
953368020_2020,500,953368020,0,0,0,91911,0,0,KIKU GARDENS INC,0,06-30-2021,2020,500,500
953368020_2019,1375,953368020,0,0,0,91911,0,0,KIKU GARDENS INC,0,06-30-2020,2019,1375,1375
953368020_2018,4500,953368020,0,0,0,91911,0,0,KIKU GARDENS INC,0,06-30-2019,2018,4500,4500
953368020_2017,1301200,953368020,0,0,0,91911,0,0,KIKU GARDENS INC,0,06-30-2018,2017,1301200,1301200
953368020_2016,0,953368020,0,0,0,91911,0,0,KIKU GARDENS INC,0,06-30-2017,2016,0,0
953368020_2015,160,953368020,0,1125,0,91911,0,0,KIKU GARDENS INC,0,06-30-2016,2015,1285,1285
953368020_2014,0,953368020,0,0,0,91911,0,0,KIKU GARDENS INC,0,06-30-2015,2014,0,0
571214920_2021,481445,571214920,0,0,391086,92084,0,0,OPERATION HOPE NORTH COUNTY INCORPORATED,0,06-30-2022,2021,872531,481445
571214920_2020,692114,571214920,0,0,422615,92084,0,0,OPERATION HOPE NORTH COUNTY INCORPORATED,0,06-30-2021,2020,1114729,692114
571214920_2019,1028389,571214920,0,0,124333,92084,0,0,OPERATION HOPE NORTH COUNTY INCORPORATED,0,06-30-2020,2019,1152722,1028389
571214920_2017,539143,571214920,0,0,75417,92084,0,100296,OPERATION HOPE  VISTA INCORPORATED,0,06-30-2018,2017,614560,539143
571214920_2016,267403,571214920,0,20689,54430,92084,0,0,OPERATION HOPE  VISTA INCORPORATED,0,06-30-2017,2016,342522,288092
331146733_2022,256658,331146733,0,63722,213571,92104,0,19922,THINK DIGNITY,0,12-31-2022,2022,533951,320380
331146733_2021,273056,331146733,0,45695,189346,92104,0,63404,THINK DIGNITY,0,12-31-2021,2021,508097,318751
331146733_2020,305452,331146733,0,0,217312,92104,0,37406,THINK DIGNITY,0,12-31-2020,2020,522764,305452
331146733_2019,125440,331146733,0,48628,129001,92104,0,43807,THINK DIGNITY,0,12-31-2019,2019,303069,174068
331146733_2018,324226,331146733,0,33682,114747,92104,0,25426,THINK DIGNITY,0,12-31-2018,2018,472655,357908
331146733_2017,255771,331146733,0,15100,106172,92104,4925,0,THINK DIGNITY,0,12-31-2017,2017,381968,275796
331146733_2016,114551,331146733,0,20231,121084,92104,3445,11272,THINK DIGNITY,0,12-31-2016,2016,259311,138227
331146733_2014,94368,331146733,0,0,0,92101,8885,0,GIRLS THINK TANK,0,12-31-2014,2014,103253,103253
952111196_2013,2001843,952111196,0,0,0,0,0,0,ST PAULS EPISCOPAL HOME INC,0,08-31-2014,2013,2001843,2001843
953315571_2021,2820702,953315571,0,583861,7481645,92069,0,242271,CASA DE AMPARO,0,06-30-2022,2021,10886208,3404563
953315571_2020,4259264,953315571,0,330639,8632004,92069,0,541051,CASA DE AMPARO,0,06-30-2021,2020,13221907,4589903
953315571_2019,1511144,953315571,0,128260,8253706,92069,0,229425,CASA DE AMPARO,0,06-30-2020,2019,9893110,1639404
953315571_2018,1441065,953315571,0,119380,402566,92069,0,319577,CASA DE AMPARO,0,06-30-2019,2018,1963011,1560445
953315571_2017,1737039,953315571,1924,14888,5669765,92069,0,408738,CASA DE AMPARO,0,06-30-2018,2017,7423616,1753851
953315571_2016,3348922,953315571,11487,225830,222038,92069,0,486662,CASA DE AMPARO,0,06-30-2017,2016,3808277,3586239
953315571_2015,2208953,953315571,14662,337599,191203,92069,0,424543,CASA DE AMPARO,0,06-30-2016,2015,2752417,2561214
953315571_2014,1819359,953315571,21271,406648,0,92069,0,526420,CASA DE AMPARO,0,06-30-2015,2014,2247278,2247278
953315571_2013,1568835,953315571,19803,352886,0,0,0,376849,CASA DE AMPARO,0,06-30-2014,2013,1941524,1941524
952794253_2021,451714,952794253,0,0,13405575,92084,0,223226,NORTH COUNTY LIFELINE INC DBA LIFELINE COMMUNITY SERVICES,0,06-30-2022,2021,13857289,451714
952794253_2020,679469,952794253,0,0,13098737,92056,0,189639,NORTH COUNTY LIFELINE INC DBA LIFELINE COMMUNITY SERVICES,0,06-30-2021,2020,13778206,679469
952794253_2019,392396,952794253,0,0,12446965,92056,0,251569,NORTH COUNTY LIFELINE INC,0,06-30-2020,2019,12839361,392396
952794253_2018,353245,952794253,0,0,10496439,92056,0,235480,NORTH COUNTY LIFELINE INC,0,06-30-2019,2018,10849684,353245
952794253_2017,287018,952794253,0,0,9738384,92056,0,207107,NORTH COUNTY LIFELINE INC,0,06-30-2018,2017,10025402,287018
952794253_2016,269310,952794253,0,0,7910489,92056,0,107107,NORTH COUNTY LIFELINE INC,0,06-30-2017,2016,8179799,269310
952794253_2015,156226,952794253,0,0,7008292,92056,0,71467,NORTH COUNTY LIFELINE INC,0,06-30-2016,2015,7164518,156226
952794253_2014,112730,952794253,0,0,6666125,92056,0,70794,NORTH COUNTY LIFELINE INC,0,06-30-2015,2014,6778855,112730
953950196_2021,12424824,953950196,0,2021876,102856183,90004,0,3290463,PATH,0,06-30-2022,2021,117302883,14446700
953950196_2020,8823906,953950196,0,2014718,90762040,90004,0,2984796,PATH,0,06-30-2021,2020,101600664,10838624
953950196_2019,8928718,953950196,0,1396211,65986770,90004,0,2559870,PEOPLE ASSISTING THE HOMELESS PATH,0,06-30-2020,2019,76311699,10324929
953950196_2018,6280302,953950196,0,1610529,31146536,90004,0,2590243,PATH PEOPLE ASSISTING THE HOMELESS,0,06-30-2019,2018,39037367,7890831
953950196_2017,6808261,953950196,0,1365374,27838533,90004,0,0,PEOPLE ASSISTING THE HOMELESS PATH,0,06-30-2018,2017,36012168,8173635
953950196_2016,5011062,953950196,0,814730,24298231,90004,0,0,PEOPLE ASSISTING THE HOMELESS PATH,0,06-30-2017,2016,30124023,5825792
953950196_2015,8493506,953950196,0,1093424,24266426,90004,0,0,PEOPLE ASSISTING THE HOMELESS PATH,0,06-30-2016,2015,33853356,9586930
953950196_2014,6112616,953950196,0,797711,15034116,90004,0,0,PEOPLE ASSISTING THE HOMELESS PATH,0,06-30-2015,2014,21944443,6910327
953950196_2013,3267436,953950196,0,890986,10971394,0,0,0,PEOPLE ASSISTING THE HOMELESS PATH,0,06-30-2014,2013,15129816,4158422
330352148_2021,2149303,330352148,0,0,1981922,92138,0,0,URBAN CORPS OF SAN DIEGO COUNTY,157000,06-30-2022,2021,4288225,2306303
330352148_2020,59307,330352148,0,0,1958200,92138,0,0,URBAN CORPS OF SAN DIEGO COUNTY,130000,06-30-2021,2020,2147507,189307
330352148_2019,926461,330352148,0,0,1262411,92138,0,0,URBAN CORPS OF SAN DIEGO COUNTY,90000,06-30-2020,2019,2278872,1016461
330352148_2018,222315,330352148,0,0,533845,92138,0,0,URBAN CORPS OF SAN DIEGO COUNTY,126000,06-30-2019,2018,882160,348315
330352148_2017,139711,330352148,0,0,582820,92138,0,0,URBAN CORPS OF SAN DIEGO COUNTY,129490,06-30-2018,2017,852021,269201
330352148_2016,76090,330352148,0,0,416078,921380156,0,3900,URBAN CORPS OF SAN DIEGO COUNTY,0,06-30-2017,2016,492168,76090
330352148_2015,188256,330352148,0,0,597550,921380156,0,0,URBAN CORPS OF SAN DIEGO COUNTY,0,06-30-2016,2015,785806,188256
330352148_2014,226704,330352148,0,60500,56744,921380156,0,0,URBAN CORPS OF SAN DIEGO COUNTY,0,06-30-2015,2014,343948,287204
330352148_2013,207117,330352148,0,0,50000,0,0,50000,URBAN CORPS OF SAN DIEGO COUNTY,0,06-30-2014,2013,257117,207117
330497515_2021,0,330497515,0,0,0,92024,0,0,LAS PALMAS FOUNDATION,0,12-31-2021,2021,0,0
330497515_2020,0,330497515,0,0,0,92024,0,0,LAS PALMAS FOUNDATION,0,12-31-2020,2020,0,0
330497515_2019,600,330497515,0,0,0,92024,0,0,LAS PALMAS FOUNDATION,0,12-31-2019,2019,600,600
330497515_2018,300,330497515,0,0,0,92024,0,0,LAS PALMAS FOUNDATION,0,12-31-2018,2018,300,300
330497515_2017,550,330497515,0,0,0,92024,0,0,LAS PALMAS FOUNDATION,0,12-31-2017,2017,550,550
330497515_2016,0,330497515,0,0,0,92024,0,0,LAS PALMAS FOUNDATION,0,12-31-2016,2016,0,0
330497515_2015,0,330497515,0,0,149000,92024,0,0,LAS PALMAS FOUNDATION,0,12-31-2015,2015,149000,0
330497515_2014,0,330497515,0,0,47171,92024,0,0,LAS PALMAS FOUNDATION,0,12-31-2014,2014,47171,0
330497515_2013,0,330497515,0,0,357902,0,0,0,LAS PALMAS FOUNDATION,0,12-31-2013,2013,357902,0
953302967_2013,109691,953302967,0,0,0,0,0,0,MENTAL HEALTH SYSTEMS INC,0,06-30-2014,2013,140328,140328
952039198_2020,37728000,952039198,0,461000,131804000,92123,0,2305000,YMCA OF SAN DIEGO COUNTY,0,06-30-2021,2020,169532000,37728000
952039198_2013,0,952039198,0,0,45948000,0,0,7030000,YMCA OF SAN DIEGO COUNTY,0,06-30-2014,2013,68593000,22645000
952653869_2021,13877,952653869,0,0,4752251,92108,0,0,CRASH INC,0,06-30-2022,2021,4766128,13877
952653869_2020,12102,952653869,0,0,0,92108,0,0,CRASH INC,0,06-30-2021,2020,12102,12102
952653869_2019,10140,952653869,0,0,0,92108,0,0,CRASH INC,0,06-30-2020,2019,10140,10140
952653869_2018,19567,952653869,0,0,0,92108,0,0,CRASH INC,0,06-30-2019,2018,19567,19567
952653869_2017,5869,952653869,0,0,0,92108,0,0,CRASH INC,0,06-30-2018,2017,5869,5869
952653869_2016,10393,952653869,0,0,0,92108,0,0,CRASH INC,0,06-30-2017,2016,10393,10393
952653869_2015,12407,952653869,0,0,0,92108,0,0,CRASH INC,0,06-30-2016,2015,12407,12407
952653869_2014,2979,952653869,0,0,0,92108,0,0,CRASH INC,0,06-30-2015,2014,2979,2979
952653869_2013,12130,952653869,0,0,0,0,0,0,CRASH INC,0,06-30-2014,2013,12130,12130
931008369_2021,695967,931008369,0,0,0,92115,0,18000,ALLIANCE FOR AFRICAN ASSISTANCE,0,06-30-2022,2021,695967,695967
931008369_2020,127017,931008369,0,0,175000,92115,0,0,ALLIANCE FOR AFRICAN ASSISTANCE,0,06-30-2021,2020,302017,127017
931008369_2019,101691,931008369,0,42454,0,92115,0,0,ALLIANCE FOR AFRICAN ASSISTANCE,0,06-30-2020,2019,144145,144145
931008369_2018,145494,931008369,0,0,0,92115,0,0,ALLIANCE FOR AFRICAN ASSISTANCE,0,06-30-2019,2018,145494,145494
931008369_2017,82574,931008369,0,6304,0,92115,0,0,ALLIANCE FOR AFRICAN ASSISTANCE,0,06-30-2018,2017,88878,88878
931008369_2016,116000,931008369,0,0,0,92115,0,0,ALLIANCE FOR AFRICAN ASSISTANCE,0,06-30-2017,2016,116000,116000
931008369_2015,79620,931008369,0,0,0,92115,0,0,ALLIANCE FOR AFRICAN ASSISTANCE,0,06-30-2016,2015,79620,79620
952880426_2021,791373,952880426,0,105366,451724,92123,0,10245,ELDERHELP OF SAN DIEGO,0,06-30-2022,2021,1348463,896739
952880426_2020,1219917,952880426,0,109324,574130,92123,0,37648,ELDERHELP OF SAN DIEGO,0,06-30-2021,2020,1903371,1329241
952880426_2019,1075276,952880426,0,51009,318368,92123,0,34594,ELDERHELP OF SAN DIEGO,0,06-30-2020,2019,1444653,1126285
952880426_2018,762231,952880426,0,53375,313363,92123,0,37263,ELDERHELP OF SAN DIEGO,0,06-30-2019,2018,1128969,815606
952880426_2016,1052228,952880426,0,42430,357117,92123,0,0,ELDERHELP OF SAN DIEGO,0,06-30-2017,2016,1451775,1094658
952880426_2015,916212,952880426,0,40155,345108,92123,0,0,ELDERHELP OF SAN DIEGO,0,06-30-2016,2015,1301475,956367
952880426_2014,721974,952880426,0,26324,262646,92120,0,0,ELDERHELP OF SAN DIEGO INC,0,06-30-2015,2014,1010944,748298
952880426_2013,591028,952880426,0,41574,260872,0,0,1890,ELDERHELP OF SAN DIEGO INC,0,06-30-2014,2013,893474,632602
953140767_2021,0,953140767,0,0,32228251,920201651,0,0,MCALISTER INSTITUTE FOR TREATMENT  EDUCATION INC,0,06-30-2022,2021,32228251,0
953140767_2020,0,953140767,0,0,33156996,920201651,0,0,MCALISTER INSTITUTE FOR TREATMENT  EDUCATION INC,0,06-30-2021,2020,33156996,0
953140767_2019,0,953140767,0,0,26829832,920201651,0,0,MCALISTER INSTITUTE FOR TREATMENT  EDUCATION INC,0,06-30-2020,2019,26829832,0
953140767_2018,0,953140767,0,0,20728534,920201651,0,0,MCALISTER INSTITUTE FOR TREATMENT  EDUCATION INC,0,06-30-2019,2018,20728534,0
953140767_2017,0,953140767,0,0,15375695,920201651,0,0,MCALISTER INSTITUTE FOR TREATMENT  EDUCATION INC,0,06-30-2018,2017,15375695,0
953140767_2016,0,953140767,0,0,11827666,920201651,0,0,MCALISTER INSTITUTE FOR TREATMENT  EDUCATION INC,0,06-30-2017,2016,11827666,0
953140767_2015,0,953140767,0,0,9361362,920201651,0,0,MCALISTER INSTITUTE FOR TREATMENT  EDUCATION INC,0,06-30-2016,2015,9361362,0
953140767_2014,0,953140767,0,0,8713650,920201651,0,0,MCALISTER INSTITUTE FOR TREATMENT  EDUCATION INC,0,06-30-2015,2014,8713650,0
953140767_2013,8109852,953140767,0,0,0,0,0,0,MCALISTER INSTITUTE FOR TREATMENT  EDUCATION INC,0,06-30-2014,2013,8109852,8109852
330553621_2021,0,330553621,0,0,754793,90275,0,0,THE SALVATION ARMY SAN DIEGO RESIDENCES INC,0,09-30-2022,2021,754793,0
330553621_2020,0,330553621,0,0,784501,90275,0,0,THE SALVATION ARMY SAN DIEGO RESIDENCES INC,0,09-30-2021,2020,784501,0
330553621_2019,0,330553621,0,0,786788,90275,0,0,THE SALVATION ARMY SAN DIEGO RESIDENCES INC,0,09-30-2020,2019,786788,0
330553621_2018,0,330553621,0,0,745913,90275,0,0,THE SALVATION ARMY SAN DIEGO RESIDENCES INC,0,09-30-2019,2018,745913,0
330553621_2017,0,330553621,0,0,712870,90275,0,0,THE SALVATION ARMY SAN DIEGO RESIDENCES INC,0,09-30-2018,2017,712870,0
330553621_2016,0,330553621,0,0,665873,90802,0,0,THE SALVATION ARMY SAN DIEGO RESIDENCES INC,0,09-30-2017,2016,665873,0
330553621_2015,0,330553621,0,0,621388,90802,0,0,THE SALVATION ARMY SAN DIEGO RESIDENCES INC,0,09-30-2016,2015,621388,0
330210280_2022,225374,330210280,0,215764,0,92102,0,0,UPLIFT,0,12-31-2022,2022,441138,441138
330210280_2021,192522,330210280,0,53708,0,92102,0,30000,UPLIFT,0,12-31-2021,2021,246230,246230
330210280_2019,188329,330210280,0,52847,0,92102,0,0,UPLIFT,0,12-31-2019,2019,241176,241176
237334012_2020,4238141,237334012,9190,0,11606920,92112,0,0,CATHOLIC CHARITIES DIOCESE OF SAN DIEGO,0,06-30-2021,2020,15854251,4247331
237334012_2019,2735170,237334012,21301,0,7876775,92112,0,0,CATHOLIC CHARITIES DIOCESE OF SAN DIEGO,0,06-30-2020,2019,10633246,2756471
237334012_2018,2379161,237334012,50794,5748,7519954,92112,0,0,CATHOLIC CHARITIES DIOCESE OF SAN DIEGO,0,06-30-2019,2018,9955657,2435703
237334012_2017,2116667,237334012,91200,28745,0,92112,0,0,CATHOLIC CHARITIES DIOCESE OF SAN DIEGO,0,06-30-2018,2017,2236612,2236612
237334012_2016,1952123,237334012,77085,53000,0,92112,0,0,CATHOLIC CHARITIES DIOCESE OF SAN DIEGO,0,06-30-2017,2016,2082208,2082208
237334012_2015,2955261,237334012,121494,57035,0,92101,0,0,CATHOLIC CHARITIES DIOCESE OF SAN DIEGO,0,06-30-2016,2015,3133790,3133790
237334012_2014,1755127,237334012,120174,143749,0,92101,0,0,CATHOLIC CHARITIES DIOCESE OF SAN DIEGO,0,06-30-2015,2014,2019050,2019050
237334012_2013,1845723,237334012,116799,196830,0,0,0,0,CATHOLIC CHARITIES DIOCESE OF SAN DIEGO,0,06-30-2014,2013,2159352,2159352
952833205_2021,14436348,952833205,0,0,59753670,92102,0,4374735,FAMILY HEALTH CENTERS OF SAN DIEGO INC,0,06-30-2022,2021,74190018,14436348
952833205_2020,7643862,952833205,0,0,49070786,92102,0,766795,FAMILY HEALTH CENTERS OF SAN DIEGO INC,0,06-30-2021,2020,56714648,7643862
952833205_2019,7746205,952833205,0,127428,42826769,92102,0,0,FAMILY HEALTH CENTERS OF SAN DIEGO INC,0,06-30-2020,2019,50700402,7873633
952833205_2018,4781811,952833205,0,112377,35981688,92102,0,0,FAMILY HEALTH CENTERS OF SAN DIEGO INC,0,06-30-2019,2018,40875876,4894188
952833205_2017,4490939,952833205,0,122474,35785124,92102,0,0,FAMILY HEALTH CENTERS OF SAN DIEGO INC,0,06-30-2018,2017,40398537,4613413
952833205_2016,1889004,952833205,0,117163,37189601,92102,0,0,FAMILY HEALTH CENTERS OF SAN DIEGO INC,0,06-30-2017,2016,39195768,2006167
952833205_2015,2030508,952833205,0,109028,31709294,92102,0,206,FAMILY HEALTH CENTERS OF SAN DIEGO INC,0,06-30-2016,2015,33848830,2139536
952833205_2014,1834695,952833205,0,62739,30863316,92102,0,0,FAMILY HEALTH CENTERS OF SAN DIEGO INC,0,06-30-2015,2014,32760750,1897434
952833205_2013,2425663,952833205,0,180418,33396379,0,0,2425663,FAMILY HEALTH CENTERS OF SAN DIEGO INC,0,06-30-2014,2013,36002460,2606081
952850121_2021,3595528,952850121,0,129000,8663919,92101,0,0,SERVING SENIORS,0,06-30-2022,2021,12388447,3724528
